05:22:18: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 49] Logger initialized
05:22:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 0.0, 1.9047619047619047, 0.09523809523809523

05:22:28: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 0.0, 2.727272727272727, 0.09090909090909091

05:22:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 0.8695652173913043, 2.608695652173913, 0.08695652173913043

05:22:29: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 1.6666666666666667, 2.5, 0.08333333333333333

05:22:30: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 2.4, 2.4, 0.08

05:22:30: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 2.3076923076923075, 1.5384615384615385, 0.07692307692307693

05:22:31: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 2.2222222222222223, 0.7407407407407407, 0.07407407407407407

05:22:31: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 2.142857142857143, 0.0, 0.07142857142857142

05:22:32: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 1.3793103448275863, 0.0, 0.06896551724137931

05:22:32: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 0.6666666666666666, 0.0, 0.06666666666666667

05:22:33: [INFO] [/Users/dk/Documents/University/1A/autonomy-bootcamp-2025-p2/modules/command/command.py | run_cmd | 83] Average Velocity: 0.0, 0.0, 0.06451612903225806

